0.000000	0.000000	-63668.324219
0.000000	0.003650	-62896.089844
0.000000	0.007300	Bad
0.000000	0.010950	-70593.210938
0.000000	0.014600	-68811.835938
0.000000	0.018251	-68368.375000
0.000000	0.021901	-69939.773438
0.000000	0.025551	-73998.664063
0.000000	0.029201	-71938.453125
0.000000	0.032851	-54666.277344
0.000000	0.036501	-44348.636719
0.000000	0.040151	24565.361328
0.000000	0.043801	-65386.710938
0.000000	0.047451	-67820.968750
0.000000	0.051102	-66203.179688
0.000000	0.054752	Bad
0.000000	0.058402	Bad
0.000000	0.062052	Bad
0.000000	0.065702	Bad
0.000000	0.069352	-56192.476563
0.000000	0.073002	-71387.007813
0.000000	0.076652	-75788.414063
0.000000	0.080302	-75196.085938
0.000000	0.083952	Bad
0.000000	0.087603	-54213.957031
0.000000	0.091253	-55989.128906
0.000000	0.094903	-1301.294067
0.000000	0.098553	Bad
0.000000	0.102203	Bad
0.000000	0.105853	Bad
0.000000	0.109503	Bad
0.000000	0.113153	Bad
0.000000	0.116803	-43930.636719
0.000000	0.120454	-68655.781250
0.000000	0.124104	-82336.039063
0.000000	0.127754	-84334.093750
0.000000	0.131404	-76940.281250
0.000000	0.135054	-65731.882813
0.000000	0.138704	-71689.000000
0.000000	0.142354	-78129.054688
0.000000	0.146004	-74586.320313
0.000000	0.149654	-68916.820313
0.000000	0.153305	-53741.199219
0.000000	0.156955	-52548.031250
0.000000	0.160605	-70798.796875
0.000000	0.164255	-69424.671875
0.000000	0.167905	-70258.296875
0.000000	0.171555	-71000.398438
0.000000	0.175205	-64590.335938
0.000000	0.178855	-67850.898438
0.000000	0.182505	-68239.664063
0.000000	0.186156	-74127.164063
0.000000	0.189806	-66750.648438
0.000000	0.193456	-71434.164063
0.000000	0.197106	-65637.773438
0.000000	0.200756	-45927.503906
0.000000	0.204406	-71981.773438
0.000000	0.208056	-70583.585938
0.000000	0.211706	Bad
0.000000	0.215356	-45206.679688
0.000000	0.219007	-78520.195313
0.000000	0.222657	-65612.945313
0.000000	0.226307	-70707.546875
0.000000	0.229957	-81328.781250
0.000000	0.233607	-83072.984375
0.000000	0.237257	-70715.359375
0.000000	0.240907	Bad
0.000000	0.244557	Bad
0.000000	0.248207	Bad
0.000000	0.251857	-71542.156250
0.000000	0.255508	-67977.648438
0.000000	0.259158	-80898.507813
0.000000	0.262808	-76925.703125
0.000000	0.266458	-60242.574219
0.000000	0.270108	-78902.617188
0.000000	0.273758	-79415.421875
0.000000	0.277408	-78855.320313
0.000000	0.281058	-74091.304688
0.000000	0.284708	-72543.343750
0.000000	0.288359	-23847.640625
0.000000	0.292009	Bad
0.000000	0.295659	Bad
0.000000	0.299309	-68075.453125
0.000000	0.302959	-46080.695313
0.000000	0.306609	-76684.195313
0.000000	0.310259	-80443.046875
0.000000	0.313909	-66147.296875
0.000000	0.317559	Bad
0.000000	0.321210	Bad
0.000000	0.324860	-46156.523438
0.000000	0.328510	Bad
0.000000	0.332160	-40062.195313
0.000000	0.335810	-75668.914063
0.000000	0.339460	-49684.472656
0.000000	0.343110	-43098.617188
0.000000	0.346760	-68876.781250
0.000000	0.350410	-70258.296875
0.000000	0.354061	-41042.941406
0.000000	0.357711	-55831.960938
0.000000	0.361361	-67863.875000
0.000000	0.365011	-66619.781250
0.000000	0.368661	-63326.433594
0.000000	0.372311	-70568.515625
0.000000	0.375961	-70424.328125
0.000000	0.379611	-67192.437500
0.000000	0.383261	-48752.695313
0.000000	0.386912	-66715.421875
0.000000	0.390562	-78955.703125
0.000000	0.394212	-77286.570313
0.000000	0.397862	-58281.707031
0.000000	0.401512	-57294.398438
0.000000	0.405162	Bad
0.000000	0.408812	-76603.554688
0.000000	0.412462	-56247.097656
0.000000	0.416112	Bad
0.000000	0.419762	Bad
0.000000	0.423413	-72947.460938
0.000000	0.427063	-82716.164063
0.000000	0.430713	-90299.507813
0.000000	0.434363	-88042.093750
0.000000	0.438013	-91380.921875
0.000000	0.441663	-85491.687500
0.000000	0.445313	Bad
0.000000	0.448963	Bad
0.000000	0.452613	Bad
0.000000	0.456264	Bad
0.000000	0.459914	-60668.738281
0.000000	0.463564	-75259.773438
0.000000	0.467214	-75360.093750
0.000000	0.470864	Bad
0.000000	0.474514	-63397.449219
0.000000	0.478164	Bad
0.000000	0.481814	-76955.210938
0.000000	0.485464	-71680.835938
0.000000	0.489115	-73514.671875
0.000000	0.492765	-58317.562500
0.000000	0.496415	-68876.289063
0.000000	0.500065	-72303.648438
0.000000	0.503715	-76566.718750
0.000000	0.507365	-63403.519531
0.000000	0.511015	-73195.453125
0.000000	0.514665	-75057.335938
0.000000	0.518315	-72675.539063
0.000000	0.521966	-69222.789063
0.000000	0.525616	-74883.843750
0.000000	0.529266	-82212.359375
0.000000	0.532916	-74743.343750
0.000000	0.536566	-63041.187500
0.000000	0.540216	-68652.710938
0.000000	0.543866	-75054.406250
0.000000	0.547516	-77328.007813
0.000000	0.551166	-82242.843750
0.000000	0.554816	-82537.437500
0.000000	0.558467	-81005.796875
0.000000	0.562117	-83828.617188
0.000000	0.565767	-76894.664063
0.000000	0.569417	-79832.929688
0.000000	0.573067	-72559.664063
0.000000	0.576717	-82707.648438
0.000000	0.580367	-71761.195313
0.000000	0.584017	-81055.328125
0.000000	0.587667	-80006.210938
0.000000	0.591318	-78861.460938
0.000000	0.594968	-81315.320313
0.000000	0.598618	-80056.093750
0.000000	0.602268	-84558.789063
0.000000	0.605918	-82314.906250
0.000000	0.609568	-58911.632813
0.000000	0.613218	-79037.742188
0.000000	0.616868	-82927.257813
0.000000	0.620518	-83837.406250
0.000000	0.624169	-61625.699219
0.000000	0.627819	-78773.703125
0.000000	0.631469	-81422.750000
0.000000	0.635119	-68143.328125
0.000000	0.638769	-62039.164063
0.000000	0.642419	-69205.281250
0.000000	0.646069	-65442.937500
0.000000	0.649719	-76293.335938
0.000000	0.653369	-77870.460938
0.000000	0.657020	-82487.906250
0.000000	0.660670	-82718.046875
0.000000	0.664320	-60212.507813
0.000000	0.667970	-8935.426758
0.000000	0.671620	-82979.085938
0.000000	0.675270	-76377.882813
0.000000	0.678920	-79738.898438
0.000000	0.682570	-78182.070313
0.000000	0.686220	-77744.679688
0.000000	0.689871	-49969.929688
0.000000	0.693521	-64027.308594
0.000000	0.697171	-75942.929688
0.000000	0.700821	-78634.531250
0.000000	0.704471	-80958.710938
0.000000	0.708121	-81472.835938
0.000000	0.711771	-67492.054688
0.000000	0.715421	Bad
0.000000	0.719071	-83544.906250
0.000000	0.722722	-83948.601563
0.000000	0.726372	-83860.148438
0.000000	0.730022	-62529.921875
0.000000	0.733672	-85761.515625
0.000000	0.737322	-81847.726563
0.000000	0.740972	-63311.296875
0.000000	0.744622	-45891.996094
0.000000	0.748272	-75870.453125
0.000000	0.751922	-67374.578125
0.000000	0.755572	-66253.335938
0.000000	0.759223	-86958.867188
0.000000	0.762873	-87353.914063
0.000000	0.766523	-83024.078125
0.000000	0.770173	-87060.921875
0.000000	0.773823	-83022.335938
0.000000	0.777473	-76377.531250
0.000000	0.781123	-75982.835938
0.000000	0.784773	-89119.945313
0.000000	0.788423	-88307.179688
0.000000	0.792074	-82178.039063
0.000000	0.795724	-87403.585938
0.000000	0.799374	-86589.421875
0.000000	0.803024	Bad
0.000000	0.806674	-84812.921875
0.000000	0.810324	-81935.343750
0.000000	0.813974	-79154.312500
0.000000	0.817624	-71936.429688
0.000000	0.821274	-81785.289063
0.000000	0.824925	-84758.375000
0.000000	0.828575	-65220.195313
0.000000	0.832225	-73262.210938
0.000000	0.835875	-5365.413574
0.000000	0.839525	-86783.492188
0.000000	0.843175	-95482.085938
0.000000	0.846825	-88389.007813
0.000000	0.850475	-88709.484375
0.000000	0.854125	-92762.437500
0.000000	0.857776	-91663.726563
0.000000	0.861426	-91520.304688
0.000000	0.865076	-36044.882813
0.000000	0.868726	-56938.906250
0.000000	0.872376	-71608.421875
0.000000	0.876026	-57746.093750
0.000000	0.879676	-25575.792969
0.000000	0.883326	-89869.929688
0.000000	0.886976	-91835.960938
0.000000	0.890626	-88261.906250
0.000000	0.894277	-87676.968750
0.000000	0.897927	-83126.000000
0.000000	0.901577	-89301.742188
0.000000	0.905227	-85820.742188
0.000000	0.908877	-86468.664063
0.000000	0.912527	-86301.242188
0.000000	0.916177	-86212.093750
0.000000	0.919827	-69787.140625
0.000000	0.923477	-47554.296875
0.000000	0.927128	-69173.117188
0.000000	0.930778	-80488.320313
0.000000	0.934428	-90088.421875
0.000000	0.938078	-97332.593750
0.000000	0.941728	-85895.593750
0.000000	0.945378	-89932.578125
0.000000	0.949028	-94305.171875
0.000000	0.952678	-80095.718750
0.000000	0.956328	-68669.453125
0.000000	0.959979	-97163.640625
0.000000	0.963629	-96710.343750
